auctn_seq,corp_cd,corp_gds_cd,corp_gds_item_nm,corp_gds_vrty_nm,corp_nm,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,mdfcn_dt,pkg_cd,pkg_nm,plor_cd,plor_nm,qty,scsbd_dt,scsbd_prc,spm_no,trd_clcln_ymd,trd_se,unit_cd,unit_nm,unit_qty,whsl_mrkt_cd,whsl_mrkt_nm
001,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,800PH,필리핀,8.000,2026-05-18 07:38:47,30000.000,99002,2026-05-18,경매,12,kg,13.000,230003,인천삼산
015,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,3.000,2026-05-18 07:38:47,33000.000,99001,2026-05-18,경매,12,kg,13.000,230003,인천삼산
014,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,800PH,필리핀,1.000,2026-05-18 07:38:47,33000.000,99001,2026-05-18,경매,12,kg,13.000,230003,인천삼산
013,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,15.000,2026-05-18 07:38:47,33000.000,99001,2026-05-18,경매,12,kg,13.000,230003,인천삼산
012,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,3.000,2026-05-18 07:38:47,33000.000,99001,2026-05-18,경매,12,kg,13.000,230003,인천삼산
011,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,3.000,2026-05-18 07:38:47,33000.000,99001,2026-05-18,경매,12,kg,13.000,230003,인천삼산
010,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,2.000,2026-05-18 07:38:47,33000.000,99001,2026-05-18,경매,12,kg,13.000,230003,인천삼산
009,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,800PH,필리핀,6.000,2026-05-18 07:38:47,33000.000,99001,2026-05-18,경매,12,kg,13.000,230003,인천삼산
009,23000302,42000,과실류,파인애플(수입),㈜경인농산,06,과실류,13,파인애플,98,파인애플(수입),2026-05-18 08:25:04,101,상자,800PH,필리핀,3.000,2026-05-18 07:38:47,32000.000,99101,2026-05-18,경매,12,kg,12.000,230003,인천삼산
008,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:04:12,101,상자,800PH,필리핀,5.000,2026-05-18 07:38:47,30000.000,99101,2026-05-18,경매,12,kg,13.000,230003,인천삼산
007,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,800PH,필리핀,3.000,2026-05-18 07:38:47,30000.000,99101,2026-05-18,경매,12,kg,13.000,230003,인천삼산
006,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,800PH,필리핀,2.000,2026-05-18 07:38:47,30000.000,99101,2026-05-18,경매,12,kg,13.000,230003,인천삼산
005,23000302,41800,과실류,바나나(수입),㈜경인농산,06,과실류,12,바나나,98,바나나(수입),2026-05-18 08:25:04,101,상자,800PH,필리핀,1.000,2026-05-18 07:38:47,30000.000,99101,2026-05-18,경매,12,kg,13.000,230003,인천삼산
